"CODESTAB","DESCESTAB"
"0000255","HOSPITAL DR CARLOS FIRPO"
"0000257","HOSPITAL E MATERNIDADE UNIMED"
"0000260","UNIDADE MISTA DE SAUDE E MATERNIDADE DONA CACULA"
"0000261","HOSPITAL REGIONAL DR GERALDO VELOSO"
"0000263","HOSPITAL E MATER MARIA PUREZA ALVES DOS SANTOS"
"0000265","MATERNIDADE MUNICIPAL MAE ESPERANCA"
"0000266","HOSPITAL LUIS EDUARDO MAGALHAES"
"0000267","HOSPITAL DE URGENCIAS DE TRINDADE"
"0000269","HOSPITAL DO OESTE"
"0000271","HOSPITAL MUNICIPAL DE ANAGE"
"0000277","HOSPITAL E MATERNIDADE MAUA"
"0000283","CLINICA INTEGRADA DE ATENDIMENTO MEDICO  CIAM"
"0000285","HOSPITAL DAS CLINICAS SAO SEBASTIAO"
"0000296","HOSPITAL DO EXERCITO"
"0000298","HOSPITAL E MATERNIDADE CENTRO CLINICO GAUCHO"
"0000300","HOSPITAL DE GUARNICAO DE ALEGRETE"
"0000315","HOSPITAL DE AERONAUTICA"
"0000323","CASA DE SAUDE SAO SEBASTIAO"
"0000333","UM PYKRAITI KAIAPO"
"0000339","HOSPITAL NOSSA SENHORA APARECIDA"
"0000340","HOSPITAL REGIONAL DA TRANSAMAZONICA"
"0000356","HOSPITAL REGIONAL DE REDENCAO"
"0000360","HOSPITAL ADVENTISTA DO PENFIGO  UNIDADE CENTRO"
"0000367","HOSPITAL E MATERNIDADE SANTA RITA DE CASSIA"
"0000368","HOSPITAL MUNICIPAL DA MULHER"
"0000379","HOSPITAL MATERNIDADE ESTELITA DOS SANTOS DANTAS"
"0000380","HOSPITAL DA AERONAUTICA DE CANOAS"
"0000396","HOSPITAL DAS CLINICAS"
"0000402","HOSP ESCOLAR DA ACADEMIA MILITAR DOS AGULHAS NEGRA"
"0000412","UPA 24 HORAS SANTA CRUZ"
"0000418","HOSPITAL AGAMENON MAGALHAES"
"0000426","HOSPITAL OTAVIO DE FREITAS"
"0000434","IMIP"
"0000452","HOSPITAL UNIMED NOROESTE CAPIXABA"
"0000467","HOSPITAL REGIONAL DO JARDIM INGA"
"0000468","HOSPITAL SANCTA MAGGIORE TATUAPE"
"0000473","UPA 24 HORAS SARAPUI"
"0000484","HOSPITAL MUNICIPAL DE MATUPA"
"0000486","HOSPITAL GERAL DE MANAUS"
"0000489","HOSPITAL MILITAR"
"0000491","MATERNIDADE MUNICIPAL SO FRANCISCO DE ASSIS"
"0000529","HOSPITAL E MATERNIDADE VITALINA FRANCISCA VENTURA"
"0000531","US 159 POLICLINICA AGAMENON MAGALHAES"
"0000532","HOSPITAL DA BASE AEREA DE NATAL"
"0000537","HOSPITAL MUNICIPAL SAO GERALDO"
"0000547","HOSPITAL DA MULHER HELONEIDA STUDART"
"0000558","US 217 CENTRO MEDICO SEN JOSE ERMIRIO DE MORAES"
"0000582","HOSPITAL DE CANCER DE PERNAMBUCO"
"0000590","US 128 POLICLINICA LESSA DE ANDRADE"
"0000601","HOSP CASSEMS - CX DE ASSSIT DOS SERVIDORES DE MS"
"0000639","US 106 CS PROF JOAQUIM CAVALCANTE"
"0000655","HOSPITAL DA RESTAURACAO"
"0000671","US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES"
"0000698","US 115  CS GERALDO BARRETO CAMPELO"
"0000701","US 165 MATERNIDADE BANDEIRA FILHO"
"0000731","HOSPITAL MUNICIPAL SANTO ANTONIO"
"0000736","US 145  CS BERNARD VAN LEER"
"0000749","HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRIN"
"0000760","US 161 CS PROF ROMERO MARQUES"
"0000769","UNIDADE MISTA DE SAUDE JOSE CARDOSO DE OLIVEIRA"
"0000779","US 143 LABORATORIO MUNICIPAL DO RECIFE"
"0000795","CLINOPE"
"0000825","US 155 CS PROF MONTEIRO DE MORAIS"
"0000830","UPA DR. JOÃO BATISTA DE SOUSA JÚNIOR"
"0000869","HOSP MUNICIPAL MARIANA SILVERIA FURTADO"
"0000884","PCO"
"0000902","CLINICA MEDICA DE IMAGEM"
"0000903","PRONTO ATEND  DE MUNICIPAL DE SANTA RITA DE CALDAS"
"0001112","US 186 PSF JARDIM UCHOA"
"0001120","REAL HOSPITAL PORTUGUES"
"0001546","HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO"
"0002232","HOSPITAL SANTA IZABEL"
"0002275","HOSPITAL SAO JOSE"
"0002283","HOSPITAL DE CIRURGIA"
"0002364","US CANDIDA ALVES SANTO ANTONIO"
"0002372","HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO"
"0002585","HOSPITAL SAO LUCAS"
"0002593","CLINICA SANTA HELENA"
"0002615","US MINISTRO COSTA CAVALVANTE INACIO BARBOSA"
"0002828","CLINICA E HOSPITAL SANTO ANTONIO COT"
"0002909","CLINICA SANTA ANNA SANTA LUZIA"
"0002917","CLINICA DE OLHOS SANTA LUZIA LTDA"
"0003360","CLINICA NOSSA SENHORA DA VITORIA"
"0003778","HOSPITAL SAO JORGE"
"0003794","INSTITUTO DE PERINATOLOGIA DA BAHIA"
"0003808","HOSPITAL SAO RAFAEL"
"0003832","HOSPITAL SANTA ISABEL"
"0003840","MATERNIDADE ALBERT SABIN"
"0003859","HOSPITAL GERAL ROBERTO SANTOS"
"0003875","HOSPITAL ANA NERY"
"0003913","UNIDADE EMERGENCIA GERCINO COELHO"
"0003956","CAE I CARLOS GOMES"
"0003972","UNIDADE DE EMERGENCIA DE PLATAFORMA"
"0004057","HOSPITAL ESPANHOL"
"0004073","HOSPITAL GERAL ERNESTO SIMOES FILHO"
"0004081","HOSPITAL GERAL JOAO BATISTA CARIBE"
"0004170","MATERNIDADE TSYLLA BALBINO"
"0004227","CSM OSVALDO CAMARGO"
"0004251","HOSPITAL PORTUGUES"
"0004294","HOSPITAL GERAL DO ESTADO"
"0004340","UPA 24H DR HELIO MACHADO"
"0004731","MATERNIDADE CLIMERIO DE OLIVEIRA"
"0004774","PA PROF ADROALDO ALBERGARIA"
"0005517","CLINICA DE HEMODIALISE NOSSA SENHORA DA GRACA"
"0006173","CLINICA SENHOR DO BONFIM SAGRADA FAMILIA"
"0006564","UNIDADE MISTA DR JOSE CARNEIRO DE CAMPOS"
"0007382","CLISUR"
"0007641","HOSPITAL SAO JOSE"
"0007684","HOSPITAL FRANCISCO MAGALHAES"
"0007714","CLINICA DE ACIDENT SAO FRANCISCO"
"0007900","MATERNIDADE DO POVO DE CASTANHAL"
"0008028","HOSPITAL MUNICIPAL ANTONIO GIGLIO"
"0008036","HOSPITAL MATERNIDADE AMADOR AGUIAR"
"0008052","HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO"
"0008079","PA DR ANISIO ROSAN"
"0008087","PRONTO SOCORRO CONRADO CESARINO NUVOLINI"
"0008133","PPA MARCIO VALDEVINO BATISTA"
"0008141","PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA"
"0008494","UPA BANGU"
"0008788","UBS VILA LUZITA"
"0008923","CENTRO HOSPITALAR DE SANTO ANDRE"
"0009164","UPA SAO FRANCISCO XAVIER"
"0009172","UBS JARDIM SATELITE"
"0009296","HOSPITAL DE CLINICAS NORTE"
"0009539","IPMMI HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO"
"0009598","IMT FISIOTERAPIA"
"0009601","HOSPITAL PIO XII"
"0009628","HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE"
"0009709","HOSPITAL UNIVERSITARIO MARIA APARECIDA PEDROSSIAN"
"0009717","SANTA CASA"
"0009725","HOSPITAL REGIONAL DE MATO GROSSO DO SUL"
"0009768","AAMI"
"0009776","HOSPITAL DO CANCER PROF DR ALFREDO ABRAO"
"0009792","HOSPITAL NOSSO LAR"
"0009814","ULTRA MEDICAL CENTRO DE DIAGNOSTICO EM MEDICINA LTDA"
"0010049","UPA DR WALFRIDO ARRUDA CORONEL ANTONINO"
"0010057","UPA APARECIDA GONCALVES SARAIVA UNIVERSITARIO"
"0010073","CRS DR ANTONIO PEREIRA TIRADENTES"
"0010081","UPA DR ALESSANDRO MARTINS DE SOUZA E SILVA VILA ALMEIDA"
"0010103","CRS DR GUINTER HANS NOVA BAHIA"
"0010111","CRS DR WALDECK F DE CASTRO MAIA COOPHAVILA II"
"0010138","UBS SILVIA REGINA UBS DR ELEONORA M QUEVEDO GOMES"
"0010219","UBS INDUBRASIL UBS MANOEL SECCO THOME"
"0010243","CRS DR JOAO PEREIRA DA ROSA AERO RANCHO"
"0010324","SESAU UBS DR WILLIAN MACKSOUD ESTRELA DO SUL"
"0010383","CRS DR ENIO CUNHA GUANANDY"
"0010456","HBDF HOSPITAL DE BASE DO DISTRITO FEDERAL"
"0010464","HRAN"
"0010472","HRG"
"0010480","HRC CEILANDIA"
"0010499","HRT HOSPITAL REGIONAL DE TAGUATINGA"
"0010502","HRS"
"0010510","HOSPITAL UNIVERSITARIO DE BRASILIA"
"0010529","HRP"
"0010537","HMIB"
"0010545","HRBZ"
"0010561","HFA"
"0010588","UNIDADE MISTA DE TAGUATINGA"
"0010634","UBS 1 PARANOA"
"0010677","UBS 03 SAMAMBAIA"
"0010758","UBS 2 CRUZEIRO"
"0010790","CSSB 01 SAO SEBASTIAO"
"0010804","CSRE 01 RECANTO DAS EMAS"
"0010944","UBS 04 TAGUATINGA"
"0011118","CSGU 01 GUARA"
"0011231","UBS 2 SOBRADINHO"
"0011274","UBS 03 GUARA"
"0011738","HOSPITAL SANTA RITA DE CASSIA VITORIA"
"0011746","HOSPITAL SANTA CASA DE VITORIA"
"0011800","HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA"
"0011819","HOSPITAL SAO LUCAS"
"0011835","PRONTO ATENDIMENTO SAO PEDRO"
"0011843","PRO MATRE"
"0011916","UNIDADE DE SAUDE ILHA DO PRINCIPE"
"0011991","HAFPES"
"0012149","UNIDADE BASICA DE SAUDE SANTO ANDRE"
"0012254","UNIDADE BASICA DE SAUDE CONQUISTA NOVA PALESTINA"
"0012505","HOSPITAL UNIVERSITARIO ANTONIO PEDRO"
"0012513","HOSPITAL MUNICIPAL CARLOS TORTELLY"
"0012521","SES RJ HOSPITAL ESTADUAL AZEVEDO LIMA"
"0012599","HOSPITAL GETULIO VARGAS FILHO"
"0012637","POLICLINICA COMUNITARIA DA ENGENHOCA"
"0012734","POLICLINICA COMUNITARIA DO LARGO DA BATALHA"
"0012890","SERVICO DE PRONTO ATENDIMENTO PROF ROCHED SEBA"
"0013102","CENTRO DE SAUDE DE ADRIANOPOLIS"
"0013129","UNIDADE DE SAUDE 24 HORAS MOYSES LUPION"
"0013145","U S CACHOEIRA"
"0013579","HOSPITAL MUNICIPAL BOM JESUS"
"0013633","HOSPITAL ANGELINA CARON"
"0013773","HOSPITAL MUNICIPAL SAO LUIZ"
"0013838","HOSPITAL SAO LUCAS"
"0013846","HOSPITAL NOSSA SENHORA DO ROCIO"
"0013854","CENTRO MEDICO HOSPITALAR"
"0014044","US CAMPO MAGRO"
"0014087","PS RETIRO"
"0014109","HOSPITAL SANTA CASA DE MISERICORDIA"
"0014117","SECRETARIA MUNICIPAL DE SAUDE"
"0014125","CENTRAL HOSPITALAR"
"0014133","HOSPITAL POLICLINICA SAO MARCOS"
"0014176","UNIDADE DE SAUDE 24 HORAS"
"0014850","CENTRO DE SAUDE SEDE COLOMBO"
"0014869","SANTA CASA DE COLOMBO"
"0014990","UNIDADE DE PRONTO ATENDIMENTO ALTO MARACANA UPA 24H"
"0015180","HOSPITAL E MAT MIQUELINA FRANCO E B PADILHA"
"0015245","HOSPITAL UNIVERSITARIO EVANGELICO DE CURITIBA"
"0015318","HNSG"
"0015334","HOSPITAL SANTA CASA"
"0015369","HOSPITAL DO TRABALHADOR"
"0015377","CLINICA EVANGELICO SC LTDA"
"0015407","HOSPITAL UNIVERSITARIO CAJURU"
"0015423","CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO PARANA"
"0015474","UMS CAPANEMA PSF"
"0015563","HOSPITAL INFANTIL PEQUENO PRINCIPE"
"0015571","HOSPITAL NOSSA SENHORA DA LUZ"
"0015660","ABIMED HOSP E MAT SANTA MADALENA SOFIA"
"0015695","CENTRO DA VISAO HC UFPR"
"0015717","HOSPITAL DA MULHER E MATERNIDADE NOSSA SENHORA DE FATIMA"
"0015962","HOSPITAL SAO LUCAS"
"0016462","CENTRO MEDICO COMUNITARIO BAIRRO NOVO"
"0016632","UMS BARIGUI PSF"
"0016659","UMS ESTRELA"
"0016675","UMS PAROLIN PSF"
"0016683","UMS SABARA PSF"
"0016799","UMS SANTOS ANDRADE PSF"
"0016829","UMS BUTIATUVINHA PSF"
"0016837","UMS PINHEIROS PSF"
"0016853","UMS SAO JOSE PSF"
"0016918","UMS ATENAS"
"0016950","UMS CAXIMBA PSF"
"0016985","UMS DOM BOSCO PSF"
"0017051","UMS SOLITUDE PSF"
"0017078","UMS SAO DOMINGOS PSF"
"0017108","UMS CAJURU"
"0017116","UMS SAO PAULO PSF"
"0017132","UMS EUCALIPTOS"
"0017140","UMS MORADIAS BELEM PSF"
"0017183","UMS XAXIM"
"0017205","UMS WALDEMAR MONASTIER PSF"
"0017272","UMS NOSSA SENHORA DA LUZ"
"0017310","UMS POMPEIA PSF"
"0017329","UMS VILA MACHADO"
"0017353","UMS MORADIAS SANTA RITA PSF"
"0017361","UMS MORADIAS DA ORDEM PSF"
"0017396","CMUM BOA VISTA"
"0017434","UMS VILA ESPERANCA PSF"
"0017485","UMS PILARZINHO"
"0017515","UMS BACACHERI"
"0017523","UMS ATUBA"
"0017558","UMS VILA LEONICE PSF"
"0017574","HOSPITAL E MATERNIDADE NOSSA SENHORA APARECIDA"
"0017582","UNIDADE DE SAUDE ARLETE RICHA PA 24 HS"
"0017612","HOSPITAL E MATERNIDADE ITAPERUCU"
"0017639","PS CENTRAL PM ITAPERUCU"
"0017663","HOSPITAL REGIONAL DA LAPA SAO SEBASTIAO"
"0017779","HOSPITAL MUNICIPAL DE MANDIRITUBA"
"0017868","POLICLINICA PATO BRANCO SA"
"0017884","HOSPITAL SAO LUCAS DE PATO BRANCO LTDA"
"0018023","PRONTO ATENDIMENTO MUNICIPAL"
"0018031","CENTRO DE SAUDE DE PIEN"
"0018090","FUNDACAO HOSPITALAR PINHAIS"
"0018260","HOSPITAL COLONIA ADAUTO BOTELHO"
"0018333","HOSPITAL MUNICIPAL NOSSA SENHORA DA LUZ DOS PINHAIS"
"0018392","HOSPITAL PIRAQUARA"
"0018600","HOSPITAL MUNICIPAL DE RIO BRANCO DO SUL"
"0018678","UNIDADE AMBULATORIAL DE EMERGENCIA"
"0018694","HOSPITAL E MATERNIDADE BOM JESUS"
"0018791","UNIDADE DE SAUDE AFONSO PENA"
"0018813","HOSPITAL MUNICIPAL DR ATTILIO TALAMINI"
"0019003","NOVACLINICA HOSPITAL E MATERNIDADE"
"0019194","HOSPITAL NOSSA SENHORA DAS DORES"
"0019208","UNIDADE MISTA DE SAUDE DE TUNAS DO PARANA"
"0019283","MATERNIDADE CARMELA DUTRA"
"0019305","HOSPITAL FLORIANOPOLIS"
"0019577","CS RIBEIRAO DA ILHA"
"0020354","USF GAIBU"
"0020419","UNIDADE DE VIGILANCIA A SAUDE"
"0020516","US 167 UNIDADE MISTA PROF BARROS LIMA"
"0021482","UNIDADE DE SAUDE DA FAMILIA ESPLANADA"
"0021520","PRONTO ATENDIMENTO DE VILA LUZITA"
"0021784","CEM CENTRO ESPECIALIZADO MUNICIPAL PRES JANIO QUADROS"
"0021792","UBSF ANHANDUI UBSF DR BENTO DE ASSIS MACHADO"
"0022594","CENTRO DE SAUDE TIROL"
"0022683","UNIDADE DE PRONTO ATENDIMENTO BARREIRO"
"0022764","CENTRO DE SAUDE PADRE TARCISIO"
"0022896","CENTRO DE SAUDE MARIANO DE ABREU"
"0022918","CENTRO DE SAUDE MARCO ANTONIO DE MENEZES"
"0022934","CENTRO DE SAUDE SAO JOSE OPERARIO"
"0023035","CENTRO DE SAUDE CONJUNTO PAULO VI"
"0023051","UNIDADE DE PRONTO ATENDIMENTO NORDESTE"
"0023159","CENTRO DE SAUDE NAZARE"
"0023213","CENTRO DE SAUDE SAO BERNARDO"
"0023272","UNIDADE DE PRONTO ATENDIMENTO NORTE"
"0023310","UNIDADE DE PRONTO ATENDIMENTO OESTE"
"0023485","CENTRO DE SAUDE CONFISCO"
"0023558","CENTRO DE SAUDE SANTA TEREZINHA"
"0023582","UNIDADE DE PRONTO ATENDIMENTO VENDA NOVA"
"0023639","CENTRO DE SAUDE NOVA YORK"
"0023744","CENTRO DE SAUDE VISCONDE DO RIO BRANCO"
"0023884","CENTRO DE SAUDE GLORIA"
"0023892","CENTRO DE SAUDE JARDIM ALVORADA"
"0023906","CENTRO DE SAUDE JARDIM FILADELFIA"
"0024007","CENTRO DE SAUDE SAO JOSE"
"0024074","HOSPITAL E MATERNIDADE MUNICIPAL CELIA CAMARA"
"0024171","CENTRO DE SAUDE CAFEZAL"
"0024228","PRONTO ATENDIMENTO CENTRAL"
"0024392","CEAM CENTRO DE ATENDIMENTO A SAUDE DA MULHER"
"0024422","UBS SANTA CARMELIA UBS DR ALBINO COIMBRA"
"0024430","UBS UNIVERSITARIO UBS DR GERMANO BARROS DE SOUZA"
"0024449","UBS AERO RANCHO UBS DR JOAO PEREIRA DA ROSA"
"0024457","UBS TIRADENTES UBS DR ANTONIO PEREIRA"
"0024465","UBS GUANANDI UBS ENG ARTHUR HOKAMA DONA NETA"
"0024473","UBS CORONEL ANTONINO"
"0024481","UBS NOVA BAHIA"
"0024813","SPA CONFORTO JORNALISTA DICLER SIMOES SOARES"
"0025135","HOSPITAL MUNICIPAL SAO JOAO BATISTA"
"0025186","HINJA"
"0025194","HOSPITAL EVANGELICO REGIONAL LTDA"
"0025399","MATERNIDADE MUNICIPAL HUMBERTO CARRANO"
"0026050","HOSPITAL VITA VOLTA REDONDA"
"0026417","HOSPITAL DE CLINICAS SUL"
"0026727","HOSPITAL SEMPER"
"0026778","HOSPITAL E MATERNIDADE RG LTDA"
"0026794","HOSPITAL SOFIA FELDMAN"
"0026808","HOSPITAL EVANGELICO"
"0026824","SOCOR"
"0026859","HOSPITAL FELICIO ROCHO"
"0026905","MATER CLINICA"
"0026913","HOSPITAL GALBA VELLOSO"
"0026921","HOSPITAL JOAO XXIII"
"0026948","HOSPITAL INFANTIL JOAO PAULO II"
"0026964","HOSPITAL ALBERTO CAVALCANTI"
"0026972","MATERNIDADE ODETE VALADARES"
"0026999","INSTITUTO RAUL SOARES"
"0027006","HOSPITAL DOM BOSCO SA"
"0027014","SANTA CASA DE BELO HORIZONTE"
"0027022","HOSPITAL JULIA KUBITSCHEK"
"0027030","HOSPITAL GOVERNADOR ISRAEL PINHEIRO"
"0027049","HOSPITAL DAS CLINICAS DA UFMG"
"0027618","UNIDADE DE PRONTO ATENDIMENTO LESTE"
"0027766","NOROESTE HOSPITAL GERAL  PROMATER  BH"
"0027863","HOSPITAL RISOLETA TOLENTINO NEVES"
"0027871","MATERNIDADE E HOSPITAL OCTAVIANO NEVES"
"0027898","HOSPITAL MATERMED LTDA"
"0027944","MATERNIDADE SANTA FE"
"0027952","NEOCENTER"
"0027979","HOSPITAL BELO HORIZONTE"
"0027987","HOSPITAL DA POLICIA MILITAR"
"0027995","HOSPITAL MATER DEI S A"
"0028304","RENASCENCA IMAGEM LTDA"
"0028487","UBS SANTO INACIO"
"0028568","UNIDADE DE EMERGENCIA DE SAO MARCOS"
"0028657","US 277 CAPS ESPERANCA"
"0036870","CENTRO MEDICO PROCLIN ELDORADO"
"0052825","SOPHIA MEDIC SERVICOS MEDICOS E CIRURGICOS LTDA"
"0065773","UPA 24H DR HAROLDO MARTINS"
"0068691","CMD CLINICA MEDICA DIAGNOSTICO"
"0071773","PRONTO ANTENDIMENTO NORTELANDIA MT"
"0072966","UPA BOMBINHAS"
"0073482","HOSPITAL REGIONAL DO BAIXO TOCANTINS HOSPITAL SANTA ROSA"
"0086673","HOSPITAL ESTADUAL LEONARDO DA VINCI"
"0090964","UPA 24H VEREADOR JAIRO JOAQUIM DOS SANTOS"
"0100587","UPA JURUNAS"
"0106453","UPA 24H VALMIR HESPANHOL"
"0107816","HOSPITAL MUNICIPAL DE AFONSO BEZERRA"
"0110140","HOSPITAL MUNICIPAL DE PORANGATU ANEXO 1"
"0110981","HOSPITAL DE CAMPANHA COVID 19 DR AKIRA TADA"
"0113956","HOSPITAL MILITAR DE AREA DE RECIFE"
"0113964","CENTRO MEDICO HOSPITALAR"
"0119253","METROPOLITANO MANDAGUACU"
"0129968","HOSPITAL DE CAMPANHA COVID 19 QUEIMADOS RJ"
"0133094","HOSPITAL UNIMED CARIRI"
"0144991","HOSPITAL E MATERNIDADE SANTA MONICA S A"
"0145130","HOSPITAL MED VALE DONA GILDA PINTO DE MEDEIROS"
"0155055","MATERNIDADE SANTA CRUZ DA SERRA"
"0172189","CAMILA HELENA DE OLIVEIRA DERMATOLOGIA"
"0179817","HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA"
"0181277","HOSPITAL REGIONAL HILDA STRENGER RIBEIRO"
"0181927","HOSPITAL REGIONAL NELSON CORNETET"
"0182974","HOSPITAL E MATERNIDADE MUNICIPAL DE QUEIMADOS"
"0207942","IGAP INST DE GASTROENT E PROCTOLOGIA"
"0213853","AGENCIA TRANSFUSIONAL DO HOSPITAL DE BASE"
"0214299","CENTRO DE PARTO NORMAL MARIA DAS DORES DE SOUZA"
"0221015","HOSPITAL MUNICIPAL DR JAQUELINE PRATES"
"0223441","HOSPITAL SANTA LUCIA GAMA"
"0247774","UPA DR OSIRES DE URZEDA NATAL"
"0253588","UPA NELSON MANDELA DISTRITO NORTE RIBEIRAO PRETO"
"0254460","HOSPITAL PUBLICO GERAL DE CASTELO DOS SONHOS"
"0256684","CENTRO DE PARTO NORMAL IMACULADA CONCEICAO"
"0262366","UPA 24H ANA MARIA DE MENEZES GARCEZ"
"0263672","UNIDADE DE PRONTO ATENDIMENTO ISAIAS CASTRO DE ANDRADE"
"0272043","CEMI"
"0281352","VITORIA CHECKUP LTDA"
"0285455","ANTONIO MARCOS"
"0303267","HOSPITAL MUNICIPAL EUCLIDES HORST"
"0379883","INSTITUTO NACIONAL DE DESENVOLVIMENTO SOCIAL INDS CA"
"0404810","HCMB HOSPITAL CENTRAL MARABA"
"0410225","CENTRO OFTALMOLOGICO SANTA CASA"
"0414093","AMB 67 TRANSPORTE INTERHOSPITALAR"
"0414301","UPA PROF DR JOAO JOSE CARNEIRO UPA SUMAREZINHO"
"0414808","CENTRO DE PARTO HUMANIZADO VILA MARIANA"
"0424811","CENTRO DE PARTO NORMAL AMBROZINA PINTO L VASQUES"
"0431451","UPA III 24H MANSOES ODISSEIA"
"0451436","HOSPITAL MUNICIPAL DE URUANA"
"0489670","UNIDADE MISTA DE SAUDE RUBENS SARMENTO CARDIM"
"0491632","HOSPITAL MUNICIPAL NOSSA SENHORA DA ABADIA"
"0503894","HOSPITAL MUNICIPAL DE LENCOIS"
"0623458","CANALI CLINICA MEDICA"
"0624683","PRONTO SOCORRO GERAL DE REMANSO"
"0625647","CUIDAR CLINICA DE ENFERMAGEM"
"0652601","HOSPITAL SAMARITANO DE SANTA BARBARA DOESTE"
"0789585","HOSPITAL UNIMED REGIONAL JAU"
"0802522","HOSPITAL SAO PEDRO"
"0837164","HOSPITAL DIA DE BARRETOS LTDA"
"0854646","ASSOCIACAO HOSPITALAR BENEFICENTE MOACIR MICHELETTO"
"0881503","PRONTO ATENDIMENTO UBDS VILA VIRGINIA"
"0887854","HOSPITAL MUNICIPAL JUAREZ BARRETO DE MACEDO"
"0906956","CLINICA DR ALESSANDRO LOBATO"
"0947342","CLIMED PRIME"
"2000016","UNIDADE BASICA PADRE TEODORO ARNDS"
"2000024","UNIDADE MISTA DE SAUDE DO MUNICIPIO DE RODRIGUES ALVES"
"2000083","HOSPITAL DR ABEL PINHEIRO MACIEL FILHO"
"2000121","HOSPITAL DR SANSAO GOMES"
